,,,nmse,nmse,nmse,nmse,mse,mse,mse,mse,rmse,rmse,rmse,rmse,snr,snr,snr,snr,peak_snr,peak_snr,peak_snr,peak_snr,fit_time,fit_time,fit_time,fit_time
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
method,sparsity_percent,matrix_type,,,,,,,,,,,,,,,,,,,,,,,,
AMP,10,gaussian,1.0002788114631604,0.0003653192358852801,1.000017701653189,1.000964141748501,0.014077681462356434,0.002681184193924214,0.01017714112163623,0.01758288712584614,0.1181866501342187,0.011468070059511353,0.1008818175968109,0.1326004793575278,-0.001210452732049499,0.0015857817780896993,-0.004185197173850931,-7.687662258341986e-05,37.16704436630132,1.7162693797221762,35.09819623726405,39.84748406566459,0.06667200724283855,0.003977299218687893,0.06117844581604004,0.07296562194824219
AMP,10,heavy,1.000501083568287,0.0006020468173254889,1.000017701653189,1.001752799251937,0.014290372455072742,0.0023870908624125426,0.01017714112163623,0.01758288712584614,0.11916096022223346,0.010200168849472939,0.1008818175968109,0.1326004793575278,-0.0021749455594394377,0.0026124545579616016,-0.007605646789538028,-7.687662258341986e-05,37.01219460318369,1.5247977885873885,35.09819623726405,39.84748406566459,0.05735096335411072,0.009802056133897267,0.04687356948852539,0.07366442680358887
AMP,10,orthogonal,1.0008605251146128,0.0007796626784500788,1.000000282973404,1.002048149096656,0.013687100455527089,0.0021948854195247484,0.01111121391137977,0.01768854662655453,0.11667226470397321,0.009238621070459316,0.1054097429623076,0.1329982955776296,-0.003734453061136842,0.003383049334278726,-0.008885901785192375,-1.228937705247113e-06,37.36810978312168,1.357632150826917,35.04615698566947,39.0847698270973,0.06280145049095154,0.0051811451273412745,0.05257320404052734,0.07014751434326172
AMP,35,gaussian,1.000149012721065,0.00014828238087654053,1.000001998750987,1.000402907431923,0.03899663285443484,0.008461075815651685,0.02556814575595167,0.05197873706698544,0.19644024077947916,0.021813805256250384,0.1599004245020997,0.2279884581880965,-0.0006470649021913581,0.0006438604450284693,-0.001749452334004948,-8.680456569565265e-06,28.365642624943725,1.978586419164633,25.68348553613932,31.84601533165787,0.06581711769104004,0.016080735285390405,0.04687190055847168,0.09165525436401367
AMP,35,heavy,1.0002349277118598,0.0003059269510399388,1.000001998750987,1.000849854496331,0.04017994535190469,0.009573610259277795,0.02556814575595167,0.05197873706698544,0.19917624185048552,0.024363190265751088,0.1599004245020997,0.2279884581880965,-0.001019984188193288,0.0013280699377924167,-0.003689303718052625,-8.680456569565265e-06,28.14570907289476,2.180539162970972,25.68348553613932,31.84601533165787,0.06510990006583077,0.014749188744930725,0.04686713218688965,0.08889222145080566
AMP,35,orthogonal,1.0010674811377684,0.0009879990931768124,1.000000144332059,1.002411343626937,0.03720037800765376,0.0101543755096551,0.02561251899090274,0.05501006277584603,0.19135970683637438,0.025584579008543985,0.1600391170648687,0.2345422409201507,-0.004631659336718684,0.004285464641129915,-0.01045972637638454,-6.268261232820599e-07,28.85958180120918,2.2675905730544077,25.19115718892034,31.83095413148997,0.06396031379699707,0.01103564887016758,0.05007076263427734,0.08376955986022949
AMP,90,gaussian,1.0005942208174878,0.0007319848037098003,1.000002606060523,1.0019794732766,0.07871233413560412,0.014250011831206897,0.0593224025785317,0.09466105253864482,0.27951007906448927,0.025888769478390496,0.2435619070760691,0.3076703634389325,-0.0025788853811522,0.003176061519795416,-0.008588245910901886,-1.131796229934815e-05,22.211030645019683,1.6406955242446173,20.4765734181963,24.53562536411087,0.06715664267539978,0.0028981019139323796,0.06249499320983887,0.06988787651062012
AMP,90,heavy,1.0007513645779755,0.0007556259174770557,1.000002606060523,1.0019794732766,0.07633447921976261,0.013541605691644108,0.0593224025785317,0.09466105253864482,0.2753063731025418,0.02451485148246698,0.2435619070760691,0.3076703634389325,-0.0032607956947143307,0.003278584059883845,-0.008588245910901886,-1.131796229934815e-05,22.469388360239858,1.5477546574250982,20.4765734181963,24.53562536411087,0.057588720321655275,0.008226692500861997,0.04685354232788086,0.06961274147033691
AMP,90,orthogonal,1.000667757816102,0.0006408998920091875,1.000007068371489,1.002024044472057,0.0810352444259831,0.013983335255998177,0.06063603861661538,0.1059423287555843,0.2837270852211752,0.024514459612930136,0.2462438600587137,0.3254878319624012,-0.002898276068623849,0.0027806746930728495,-0.008781429446462695,-3.06974388480002e-05,21.941722232265523,1.5038655503360296,19.49860969831533,24.34538358259293,0.06550113360087077,0.007264408175789449,0.05250048637390137,0.07606148719787598
KAMP,10,gaussian,0.00045655943174697963,6.775836551650873e-05,0.0003695615200563107,0.0005773932982627334,6.980063842834501e-06,1.5203461239402424e-06,4.541629735509146e-06,8.545145947398627e-06,0.0026274709180964108,0.0002986700860327155,0.0021311099773379,0.002923208160121107,33.44473402087828,0.629990601446294,32.38528261231892,34.32313255247419,103.31339206359573,2.0572839471917894,101.365610306358,106.8557655061564,64.04134011268616,0.3572386583375802,63.64023470878601,64.51092553138733
KAMP,10,heavy,0.0005751010265519405,0.0006122044965661585,0.0001043519937367131,0.001872010018947011,9.35494460566429e-06,9.61464597895308e-06,1.061947415728927e-06,2.736554506627064e-05,0.002692396636127172,0.0015513846200587134,0.001030508328801338,0.005231208757664966,34.45726397912615,4.49824349216581,27.27691831259368,39.81499248940825,105.39008869503105,10.29550951968133,91.14888170690749,119.477939752175,114.5914355814457,14.72376210528273,95.24315619468689,137.7147078514099
KAMP,10,orthogonal,0.00033990059673220274,2.228009408312798e-05,0.0003093034437280758,0.0003806455636832876,4.803927431200702e-06,1.1002812967665735e-06,3.278772027118783e-06,6.72698212296104e-06,0.0021792978582597837,0.000249773099741163,0.001810737978592922,0.002593642635939084,34.69451218400484,0.28127320249373944,34.19479227420901,35.09615244614427,106.55917673050068,1.9885196371321785,103.4435945291734,109.6606785057635,38.95412337779999,6.388443282229096,31.04034471511841,45.10883593559265
KAMP,35,gaussian,0.0006161676913071101,3.559082140113481e-05,0.0005464934141997278,0.0006494375406652631,2.69339063816265e-05,6.308603382247801e-06,1.870151811495776e-05,3.457511466882368e-05,0.0051579351197711875,0.0006201185065510238,0.004324525189539051,0.005880060770844437,32.1095048849668,0.25943615994240915,31.87462610639884,32.62415067372012,91.60404970543,2.1361954448379143,89.22472741745776,94.56246275463015,141.39714029857092,141.3584857117317,57.44102239608765,377.2397012710571
KAMP,35,heavy,0.0001655173961173668,8.721129367670714e-05,9.908016593550116e-05,0.0003616645594965319,7.452789967425042e-06,5.436214628839204e-06,3.368517131067612e-06,1.966924481460273e-05,0.002608610432118165,0.0008605258066151501,0.001835352045539932,0.004435002233889261,38.217055774962645,1.8882877769378539,34.4169404686238,40.04013274746554,104.04126633500557,5.058960609116271,94.12424628320645,109.4512247928004,434.67939656972885,260.7090969349427,108.2620952129364,694.492312669754
KAMP,35,orthogonal,0.0007507403244183654,0.00012135299119469792,0.0005844037418505898,0.0008975180355552325,2.7176724658418625e-05,9.514162074029313e-06,1.734561825200436e-05,4.931883697995539e-05,0.005150195818016479,0.0008512785772681989,0.00416480710861912,0.007022737143020191,31.29817451105875,0.7224310324723252,30.46956815548066,32.33287012005604,91.7220735784864,2.7102369694839155,86.1397434668072,95.2162043186884,175.12739429473876,31.837140468512025,133.6416425704956,220.692896604538
KAMP,90,gaussian,0.0039638855625902525,0.0007981788229392369,0.003041270328557207,0.005497954493216033,0.00031876866638821206,9.35603948753687e-05,0.0001884975889926972,0.0004964479771637989,0.017685098805511574,0.002619912021970003,0.013729442413758,0.02228111256566419,24.091312242307946,0.8370684426308155,22.59798859150054,25.16944975126242,70.25607050003556,2.614663040190765,66.08252509098237,74.49388400665596,79.72746515274048,0.2672368020550997,79.29276990890503,79.98131275177002
