method,matrix_type,sparsity,measurement_rate,avg_nmse
KAMP,orthogonal,0.1,0.5,0.05101478921962086
AMP,orthogonal,0.1,0.5,3.88249350455059e+27
DistributedKAMP,orthogonal,0.1,0.5,0.42703243354708376
KAMP,gaussian,0.1,0.5,0.019759582007079307
AMP,gaussian,0.1,0.5,7.738191132421765e+38
DistributedKAMP,gaussian,0.1,0.5,0.5007988808842285
KAMP,heavy-tailed,0.1,0.5,0.024780483190930437
AMP,heavy-tailed,0.1,0.5,inf
DistributedKAMP,heavy-tailed,0.1,0.5,0.6123932425754257
KAMP,orthogonal,0.1,0.7,0.024114391822735826
AMP,orthogonal,0.1,0.7,0.016763869190690235
DistributedKAMP,orthogonal,0.1,0.7,0.21690812165334278
KAMP,gaussian,0.1,0.7,0.015596627042515238
AMP,gaussian,0.1,0.7,1.0678817900567935e+18
DistributedKAMP,gaussian,0.1,0.7,0.4111960208621584
KAMP,heavy-tailed,0.1,0.7,0.01931703156122674
AMP,heavy-tailed,0.1,0.7,inf
DistributedKAMP,heavy-tailed,0.1,0.7,0.5866747109231649
KAMP,orthogonal,0.1,0.9,0.012126087837299553
AMP,orthogonal,0.1,0.9,0.010431147727924996
DistributedKAMP,orthogonal,0.1,0.9,0.05222145188253137
KAMP,gaussian,0.1,0.9,0.014396454175990423
AMP,gaussian,0.1,0.9,0.010562518751579158
DistributedKAMP,gaussian,0.1,0.9,0.3703850887434709
KAMP,heavy-tailed,0.1,0.9,0.01791370473759519
AMP,heavy-tailed,0.1,0.9,inf
DistributedKAMP,heavy-tailed,0.1,0.9,0.5324964150124967
KAMP,orthogonal,0.2,0.5,0.08436804727556851
AMP,orthogonal,0.2,0.5,6.526994878705981e+28
DistributedKAMP,orthogonal,0.2,0.5,0.4487903251529106
KAMP,gaussian,0.2,0.5,0.07837698122900523
AMP,gaussian,0.2,0.5,5.583384482763676e+42
DistributedKAMP,gaussian,0.2,0.5,0.5575983607574307
KAMP,heavy-tailed,0.2,0.5,0.7839973015047277
AMP,heavy-tailed,0.2,0.5,inf
DistributedKAMP,heavy-tailed,0.2,0.5,0.6295568893166701
KAMP,orthogonal,0.2,0.7,0.024701460568223726
AMP,orthogonal,0.2,0.7,0.014774055785820778
DistributedKAMP,orthogonal,0.2,0.7,0.24383448603974997
KAMP,gaussian,0.2,0.7,0.029949132231490205
AMP,gaussian,0.2,0.7,4.364073338751246e+30
DistributedKAMP,gaussian,0.2,0.7,0.4652565230011493
KAMP,heavy-tailed,0.2,0.7,1.0228509039013864
AMP,heavy-tailed,0.2,0.7,inf
DistributedKAMP,heavy-tailed,0.2,0.7,0.56493402308958
KAMP,orthogonal,0.2,0.9,0.01283342538655018
AMP,orthogonal,0.2,0.9,0.008541527742971556
DistributedKAMP,orthogonal,0.2,0.9,0.0693001155014095
KAMP,gaussian,0.2,0.9,0.019300479815068137
AMP,gaussian,0.2,0.9,1.192409713648504e+21
DistributedKAMP,gaussian,0.2,0.9,0.42347445161357583
KAMP,heavy-tailed,0.2,0.9,0.03143147742011093
AMP,heavy-tailed,0.2,0.9,inf
DistributedKAMP,heavy-tailed,0.2,0.9,0.5216521355492715
KAMP,orthogonal,0.3,0.5,0.2178779145583524
AMP,orthogonal,0.3,0.5,1.351431419739242e+29
DistributedKAMP,orthogonal,0.3,0.5,0.4827513768172815
KAMP,gaussian,0.3,0.5,0.2685892411136736
AMP,gaussian,0.3,0.5,9.127439424574638e+29
DistributedKAMP,gaussian,0.3,0.5,0.5764349013199237
KAMP,heavy-tailed,0.3,0.5,0.24011990439820638
AMP,heavy-tailed,0.3,0.5,inf
DistributedKAMP,heavy-tailed,0.3,0.5,0.6212255675504683
KAMP,orthogonal,0.3,0.7,0.03499856102254814
AMP,orthogonal,0.3,0.7,0.011458769748009284
DistributedKAMP,orthogonal,0.3,0.7,0.26223265117911276
KAMP,gaussian,0.3,0.7,0.06786958753305296
AMP,gaussian,0.3,0.7,8.553555133070077e+21
DistributedKAMP,gaussian,0.3,0.7,0.49448288913358834
KAMP,heavy-tailed,0.3,0.7,0.07233673011854444
AMP,heavy-tailed,0.3,0.7,inf
DistributedKAMP,heavy-tailed,0.3,0.7,0.5569602392886334
KAMP,orthogonal,0.3,0.9,0.013741468740939986
AMP,orthogonal,0.3,0.9,0.0064803373449413264
DistributedKAMP,orthogonal,0.3,0.9,0.07937911646787232
KAMP,gaussian,0.3,0.9,0.034322645864518775
AMP,gaussian,0.3,0.9,0.013811722226583976
DistributedKAMP,gaussian,0.3,0.9,0.45639209345638737
KAMP,heavy-tailed,0.3,0.9,0.04849337739442196
AMP,heavy-tailed,0.3,0.9,inf
DistributedKAMP,heavy-tailed,0.3,0.9,0.5524071860350608
