algo,delta,lambda1,psnr,nmse,sparsity,time
KF-AMP,0.2,0.01,5.600164594411353,0.836256057084521,0.69775390625,2.400108218193054
KF-AMP,0.2,0.05,5.322967674246113,0.8914143968930894,0.81884765625,2.3579589128494263
KF-AMP,0.2,0.1,5.008665230166702,0.9583518600671983,0.94287109375,2.2809016704559326
KF-AMP,0.4,0.01,7.006041227496787,0.6050361095358636,0.8359375,2.7239878177642822
KF-AMP,0.4,0.05,6.265341428679378,0.7174929551074205,0.71240234375,2.754524350166321
KF-AMP,0.4,0.1,6.014288742147177,0.7601934567756108,0.9580078125,2.6472445726394653
KF-AMP,0.6,0.01,8.458242392007412,0.43311122789615625,0.89990234375,3.620611310005188
KF-AMP,0.6,0.05,7.426447502821578,0.5499457498490001,0.71923828125,3.538957953453064
KF-AMP,0.6,0.1,7.0159923292388715,0.6036335974735059,0.935546875,3.3239554166793823
AMP,0.2,0.01,5.648222261685919,0.8270779274908857,0.6767578125,2.4962759017944336
AMP,0.2,0.05,5.372000453968798,0.881433670507568,0.7734375,2.3507357835769653
AMP,0.2,0.1,5.020173474078518,0.9557514236218513,0.94970703125,2.3004590272903442
AMP,0.4,0.01,6.773092124509472,0.6383292493853112,0.84130859375,2.7332258224487305
AMP,0.4,0.05,6.176339498954325,0.7323836425308631,0.6806640625,2.784719944000244
AMP,0.4,0.1,5.856040610415759,0.7886607080674242,0.95263671875,2.8066985607147217
AMP,0.6,0.01,8.747912813354016,0.405131261855033,0.90771484375,3.5556408166885376
AMP,0.6,0.05,7.26009708121015,0.5709147715500797,0.71630859375,3.384689688682556
AMP,0.6,0.1,6.9417552610604,0.6143280882724488,0.94580078125,3.0547726154327393
