ensemble,delta,algo,nmse
gaussian,0.2,KAMP,0.6933427663221869
gaussian,0.2,AMP,0.6985093583992071
gaussian,0.4,KAMP,0.3852315116193143
gaussian,0.4,AMP,0.41010272361411443
gaussian,0.6,KAMP,0.16161794655404635
gaussian,0.6,AMP,0.17477129941576452
heavy,0.2,KAMP,0.7810120710646196
heavy,0.2,AMP,1.505078580444043
heavy,0.4,KAMP,0.37563277619701263
heavy,0.4,AMP,0.4267092863173961
heavy,0.6,KAMP,0.23858477211061982
heavy,0.6,AMP,0.1815824130111039
orthogonal,0.2,KAMP,0.7086861269819202
orthogonal,0.2,AMP,0.7006944713262783
orthogonal,0.4,KAMP,0.38079419712280044
orthogonal,0.4,AMP,0.4187362208378107
orthogonal,0.6,KAMP,0.15886742407437895
orthogonal,0.6,AMP,0.15540983130756628
