algo,delta,rho,nmse,success,time,sparsity
KF-AMP,0.2,0.05,0.4092284995030206,0.0,2.0277837117513022,0.342
KF-AMP,0.2,0.1,0.654725463677183,0.0,1.9354883035024006,0.3993333333333333
KF-AMP,0.2,0.2,0.7511283846848578,0.0,2.1547772884368896,0.43933333333333335
KF-AMP,0.4,0.05,0.034568146050928,0.3333333333333333,2.656338850657145,0.2993333333333333
KF-AMP,0.4,0.1,0.25232892522024275,0.0,2.7249491214752197,0.5626666666666668
KF-AMP,0.4,0.2,0.41524168297547076,0.0,2.8333445390065513,0.64
KF-AMP,0.6,0.05,0.0010032364257314974,1.0,2.7293370564778647,0.118
KF-AMP,0.6,0.1,0.03370664599381506,0.3333333333333333,4.438754399617513,0.484
KF-AMP,0.6,0.2,0.12468318066422752,0.0,9.552571296691895,0.6846666666666668
KF-AMP,0.8,0.05,0.00012029675068312101,1.0,3.586042642593384,0.051333333333333335
KF-AMP,0.8,0.1,0.0002126626320101096,1.0,7.104651848475139,0.11266666666666665
KF-AMP,0.8,0.2,0.022787737011867617,0.0,5.322626988093059,0.6386666666666666
AMP,0.2,0.05,0.46511454734180385,0.0,1.9603077570597331,0.35533333333333333
AMP,0.2,0.1,0.6461634207609303,0.0,2.0585266749064126,0.38866666666666666
AMP,0.2,0.2,0.7505983183412401,0.0,1.8272985617319744,0.5053333333333333
AMP,0.4,0.05,0.04653864178750786,0.0,2.662712335586548,0.3833333333333333
AMP,0.4,0.1,0.27558040376981663,0.0,2.8266915480295816,0.54
AMP,0.4,0.2,0.42528254260253884,0.0,2.74519952138265,0.6626666666666666
AMP,0.6,0.05,0.00024456757940991735,1.0,2.762658675511678,0.06599999999999999
AMP,0.6,0.1,0.03628138831435312,0.0,3.0516507625579834,0.544
AMP,0.6,0.2,0.16648793545688617,0.0,3.2400382359822593,0.7553333333333333
AMP,0.8,0.05,0.00011158625580823284,1.0,2.355351765950521,0.05333333333333334
AMP,0.8,0.1,0.0001710492888878002,1.0,2.936673323313395,0.13466666666666668
AMP,0.8,0.2,0.011129634356227254,0.3333333333333333,4.067298332850139,0.5626666666666668
